id,finished,consent,country,country_analysis,aware_open_research,aware_study_preregistration,aware_registered_reports,aware_open_materials,aware_open_data,aware_open_code,aware_preprints,aware_open_peer_review,aware_open_access_publication,aware_replication_studies,aware_research_co_production,used_open_research,used_study_preregistration,used_registered_reports,used_open_materials,used_open_data,used_open_code,used_preprints,used_open_peer_review,used_open_access_publication,used_replication_studies,used_research_co_production
P1184,TRUE,Yes,Germany,Germany,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've not used this,I've used this
P1185,TRUE,Yes,United Kingdom,United Kingdom,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,NA,I've used this,I've not used this,I've not used this,I've used this,I've not used this,I've used this,I've not used this,I've used this
P1186,TRUE,Yes,United Kingdom,United Kingdom,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've not used this,I've not used this,I've used this,I've used this,Not applicable to my research,I've not used this,I've used this,I've used this,I've not used this,I've not used this
P1187,TRUE,Yes,Netherlands,Netherlands,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've used this,I've not used this
P1188,TRUE,Yes,Brazil,Brazil,I'm aware of this,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've not used this,I've used this,NA,NA,I've used this,I've used this,I've not used this,I've not used this,I've used this,I've not used this,NA
P1189,TRUE,Yes,Other (please type the name of the country in which your primary university/institution is based),India,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've not used this,I've not used this,I've not used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've not used this,NA
P1190,TRUE,Yes,Other (please type the name of the country in which your primary university/institution is based),United States,NA,I'm aware of this,NA,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,NA,I've not used this,NA,I've not used this,I've not used this,NA,I've used this,I've used this,I've used this,NA,NA
P1191,TRUE,Yes,United Kingdom,United Kingdom,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've used this,I've not used this,I've not used this,NA,I've not used this,I've not used this,I've used this,I've used this,I've used this
P1192,TRUE,Yes,Other (please type the name of the country in which your primary university/institution is based),United States,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've not used this
P1193,TRUE,Yes,Other (please type the name of the country in which your primary university/institution is based),United States,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've not used this,I've used this,I've used this
P1194,TRUE,Yes,Other (please type the name of the country in which your primary university/institution is based),Tanzania,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,NA,NA,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this
P1195,TRUE,Yes,Other (please type the name of the country in which your primary university/institution is based),Tanzania,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,NA,NA,I've used this,I've used this,NA,I've used this,I've used this,I've not used this,I've not used this,NA,NA,NA,NA
P1196,TRUE,Yes,Norway,Norway,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,NA
P1197,TRUE,Yes,Other (please type the name of the country in which your primary university/institution is based),Canada,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've not used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've not used this,NA
P1198,TRUE,Yes,Other (please type the name of the country in which your primary university/institution is based),Romania,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I've not used this,I've used this,I've not used this,I've used this,I've used this,Not applicable to my research,I've not used this,NA,I've used this,I've not used this,I've not used this
P1199,TRUE,Yes,Netherlands,Netherlands,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've not used this,I've not used this,I've not used this,I've not used this,I've not used this,I've not used this,I've not used this,I've not used this,I've not used this,NA
P1200,TRUE,Yes,Other (please type the name of the country in which your primary university/institution is based),Tanzania,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,I've used this,I've used this,I've not used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've used this,NA,I've not used this
P1201,TRUE,Yes,Germany,Germany,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've used this,I've not used this,I've not used this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've not used this,NA
P1202,TRUE,Yes,Other (please type the name of the country in which your primary university/institution is based),Tanzania,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've not used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've not used this,I've not used this,I've used this,I've used this,I've used this
P1203,TRUE,Yes,Germany,Germany,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've not used this,I've not used this,I've not used this,I've used this,NA
P1204,TRUE,Yes,Germany,Germany,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've not used this,NA,I've not used this,I've used this,I've used this,I've not used this,I've not used this,I've used this,I've used this,NA
P1205,TRUE,Yes,Italy,Italy,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've not used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,NA
P1206,TRUE,Yes,Other (please type the name of the country in which your primary university/institution is based),Serbia,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,NA
P1207,TRUE,Yes,Other (please type the name of the country in which your primary university/institution is based),NA,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,NA,I've used this,I've used this,I've used this,I've not used this,I've not used this,I've used this,I've not used this,I've used this
P1208,TRUE,Yes,Other (please type the name of the country in which your primary university/institution is based),Serbia,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,I've used this,NA,NA,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,NA,NA
P1209,TRUE,Yes,Germany,Germany,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've used this,I've not used this,I've not used this,I've not used this,NA,I've not used this,I've not used this,I've used this,I've not used this,NA
P1210,TRUE,Yes,Other (please type the name of the country in which your primary university/institution is based),Tanzania,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,NA,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,Not applicable to my research,NA,NA,I've used this,I've used this,NA,NA,NA,Not applicable to my research,I've not used this,Not applicable to my research
P1211,TRUE,Yes,Other (please type the name of the country in which your primary university/institution is based),Ireland,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this
P1212,TRUE,Yes,Other (please type the name of the country in which your primary university/institution is based),New Zealand,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,NA
P1213,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've not used this,I've not used this,NA,NA,I've used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this
P1214,TRUE,Yes,Finland,Finland,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've not used this,I've not used this,NA,I've used this,I've used this,Not applicable to my research,I've used this,I've not used this,I've used this,I've not used this,NA
P1215,TRUE,Yes,Other (please type the name of the country in which your primary university/institution is based),Serbia,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,NA
P1216,TRUE,Yes,Other (please type the name of the country in which your primary university/institution is based),Ireland,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've not used this,I've not used this,I've not used this,Not applicable to my research,I've not used this,Not applicable to my research,I've used this,I've not used this,I've used this
P1217,TRUE,Yes,Other (please type the name of the country in which your primary university/institution is based),Serbia,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've used this,NA
P1218,TRUE,Yes,Other (please type the name of the country in which your primary university/institution is based),Tanzania,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've not used this,I've not used this,I've used this,I've used this,I've used this
P1219,TRUE,Yes,Other (please type the name of the country in which your primary university/institution is based),Belgium,NA,NA,NA,NA,I'm aware of this,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,NA,NA,NA,NA,NA,I've used this,I've used this,NA,NA,I've not used this,I've used this,NA
P1220,TRUE,Yes,Other (please type the name of the country in which your primary university/institution is based),South Africa,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've not used this,I've used this,NA
P1221,TRUE,Yes,United Kingdom,United Kingdom,NA,NA,NA,NA,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,NA,I'm aware of this,NA,NA,NA,NA,I've not used this,NA,NA,I've not used this,I've used this,NA,I've not used this
P1222,TRUE,Yes,Other (please type the name of the country in which your primary university/institution is based),Indonesia,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've not used this,I've used this,I've used this,I've not used this
P1223,TRUE,Yes,Other (please type the name of the country in which your primary university/institution is based),Spain,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've not used this,I've used this,I've not used this,I've used this,I've used this,I've not used this,I've used this,I've not used this,I've not used this
P1224,TRUE,Yes,Germany,Germany,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've not used this
P1225,TRUE,Yes,United Kingdom,United Kingdom,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've not used this,I've used this,I've not used this,I've not used this,I've not used this,Not applicable to my research,I've not used this,I've not used this,I've not used this,I've not used this,I've used this
P1226,TRUE,Yes,Other (please type the name of the country in which your primary university/institution is based),Tanzania,NA,NA,NA,NA,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,NA,NA,NA,NA,NA,NA,I've used this,I've not used this,I've not used this,NA,I've used this
P1227,TRUE,Yes,Germany,Germany,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this
P1228,TRUE,Yes,Other (please type the name of the country in which your primary university/institution is based),United States,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've not used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've used this,NA
P1229,TRUE,Yes,Other (please type the name of the country in which your primary university/institution is based),Tanzania,NA,NA,NA,I'm aware of this,I'm aware of this,NA,I'm aware of this,NA,I'm aware of this,NA,NA,NA,NA,NA,I've not used this,I've not used this,NA,I've not used this,NA,I've used this,NA,NA
P1230,TRUE,Yes,United Kingdom,United Kingdom,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've not used this,NA
P1231,TRUE,Yes,United Kingdom,United Kingdom,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've used this,I've not used this,I've not used this
P1232,TRUE,Yes,Other (please type the name of the country in which your primary university/institution is based),Canada,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've used this,I've not used this,I've not used this,I've not used this,I've not used this,I've not used this,I've not used this,I've used this,I've used this
P1233,TRUE,Yes,Other (please type the name of the country in which your primary university/institution is based),United States,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've not used this,I've used this,I've used this,I've not used this,I've used this,I've not used this,I've used this,I've not used this,I've not used this
P1234,TRUE,Yes,United Kingdom,United Kingdom,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've not used this,I've not used this,I've used this,I've used this,I've not used this,I've not used this,I've used this,I've not used this,I've used this
P1235,TRUE,Yes,United Kingdom,United Kingdom,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,NA,I've used this,I've used this,I've not used this,NA,I've used this,I've not used this,I've not used this,I've used this,NA,I've not used this,NA
P1236,TRUE,Yes,Germany,Germany,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,NA,I'm aware of this,NA,I'm aware of this,I'm aware of this,NA,I've not used this,I've used this,NA,I've used this,I've not used this,NA,I've not used this,NA,I've used this,I've not used this,NA
P1237,TRUE,Yes,Germany,Germany,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've not used this,NA
P1238,TRUE,Yes,Italy,Italy,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,I've used this,NA,NA,Not applicable to my research,I've used this,I've used this,I've used this,I've not used this,I've used this,NA,NA
P1239,TRUE,Yes,Italy,Italy,NA,NA,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,NA,NA,NA,NA,NA,NA,I've used this,I've used this,I've used this,NA,I've not used this,NA,NA
P1240,TRUE,Yes,Italy,Italy,I'm aware of this,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,NA,I've not used this,I've not used this,NA,NA,I've not used this,I've not used this,I've not used this,NA,I've not used this,I've not used this,NA
P1241,TRUE,Yes,Italy,Italy,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,I've used this,NA,NA,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this,NA,NA
P1242,TRUE,Yes,Italy,Italy,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,NA,I've not used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've not used this,I've not used this
P1243,TRUE,Yes,Italy,Italy,NA,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,NA,NA,Not applicable to my research,I've not used this,I've not used this,I've used this,I've used this,I've used this,Not applicable to my research,NA
P1244,TRUE,Yes,Italy,Italy,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,NA,NA,Not applicable to my research,I've used this,I've used this,I've used this,I've not used this,I've not used this,I've not used this,NA
P1245,TRUE,Yes,Italy,Italy,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,I've used this,Not applicable to my research,NA,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this,NA,NA
P1246,TRUE,Yes,Italy,Italy,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,I've not used this,NA,NA,I've used this,I've not used this,I've used this,I've used this,I've not used this,I've used this,NA,NA
P1247,TRUE,Yes,Italy,Italy,NA,NA,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,NA,NA,NA,NA,Not applicable to my research,Not applicable to my research,I've used this,I've not used this,I've used this,NA,NA
P1248,TRUE,Yes,Italy,Italy,I'm aware of this,NA,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've not used this,NA,NA,NA,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,NA
P1249,TRUE,Yes,Italy,Italy,I'm aware of this,NA,NA,NA,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,I've not used this,NA,NA,NA,NA,NA,I've not used this,I've used this,I've used this,NA,NA
P1250,TRUE,Yes,Italy,Italy,I'm aware of this,NA,NA,NA,NA,NA,NA,I'm aware of this,I'm aware of this,NA,I'm aware of this,I've used this,NA,NA,NA,NA,NA,NA,I've not used this,I've used this,NA,I've used this
P1251,TRUE,Yes,Italy,Italy,NA,NA,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,NA,NA,NA,NA,NA,NA,I've used this,I've not used this,I've used this,NA,I've not used this,NA,NA
P1252,TRUE,Yes,Italy,Italy,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,NA,I've used this,NA,NA,I've not used this,Not applicable to my research,I've used this,I've used this,NA,I've used this,I've not used this,NA
P1253,TRUE,Yes,Italy,Italy,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,I've not used this,NA,NA,Not applicable to my research,I've used this,I've used this,I've not used this,I've not used this,I've used this,NA,NA
P1254,TRUE,Yes,Italy,Italy,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,NA,NA,NA,I've used this,I've not used this,I've not used this,I've used this,I've used this,I've not used this,NA,I've used this,NA,NA
P1255,TRUE,Yes,Italy,Italy,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,Not applicable to my research,NA,NA,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this,NA,NA
P1256,TRUE,Yes,United Kingdom,United Kingdom,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this
P1257,TRUE,Yes,United Kingdom,United Kingdom,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've used this,I've used this,I've used this,Not applicable to my research,I've used this,I've used this,I've used this,I've used this,I've not used this
P1258,TRUE,Yes,Italy,Italy,I'm aware of this,NA,NA,NA,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,NA,NA,NA,Not applicable to my research,NA,I've used this,I've used this,I've used this,Not applicable to my research,I've used this
P1259,TRUE,Yes,Italy,Italy,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've not used this,I've used this
P1260,TRUE,Yes,Italy,Italy,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,NA
P1261,TRUE,Yes,Italy,Italy,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,I've used this,NA,NA,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,NA,NA
P1262,TRUE,Yes,Italy,Italy,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've not used this,I've not used this,I've used this,I've used this,I've used this,I've not used this,I've not used this,I've not used this,I've used this,I've not used this
P1263,TRUE,Yes,Italy,Italy,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've not used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've not used this
P1264,TRUE,Yes,Italy,Italy,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,NA,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this
P1265,TRUE,Yes,Italy,Italy,I'm aware of this,NA,NA,NA,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've not used this,NA,NA,NA,I've not used this,NA,I've used this,I've not used this,I've used this,I've not used this,NA
P1266,TRUE,Yes,Italy,Italy,NA,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,NA,NA,NA,NA,NA,I've used this,I've used this,I've used this,I've not used this,NA,I've not used this,NA,NA
P1267,TRUE,Yes,Italy,Italy,I'm aware of this,NA,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,I've not used this,NA,NA,NA,I've not used this,I've not used this,I've used this,I've not used this,I've used this,NA,NA
P1268,TRUE,Yes,Italy,Italy,I'm aware of this,NA,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,I've not used this,NA,NA,NA,I've not used this,I've used this,I've used this,I've not used this,I've not used this,NA,NA
P1269,TRUE,Yes,Italy,Italy,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've not used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've used this,I've not used this,I've not used this
P1270,TRUE,Yes,Italy,Italy,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,I've used this,I've not used this,I've used this,I've used this,I've used this,I've not used this,I've not used this,I've used this,I've used this,NA
